Question,Choices,Answer
This microorganism was isolated from the blood of a newborn 24-hours after birth. The same organism was isolated from the mothers vaginal culture. The agent is:,"Candida albicans, Listeria monocytogenes, Streptococcus agalactiae (GBS), Streptococcus pyogenes (GAS), Staphylococcus aureus",Streptococcus agalactiae (GBS)
"A young woman in her third trimester of pregnancy was seen in the ER; she had severe back pain, chills, fever, and nausea with vomiting.† The physician noted costovertebral-angle (space over kidneys) tenderness. A wet-mount preparation of urine was positive for large numbers of rod-shaped organisms and polymorphonuclear leukocytes per field. Note the results of the urine culture on blood agar and MacConkeys agar and the gram stain prepared from the blood agar culture shown in the images provided.Select the agent and clinical diagnosis:","E. coli, acute pyelonephritis, Klebsiella pneumoniae, cystitis, Proteus, acute pyelonephritis, Pseudomonas aeruginosa, cystitis, Trichomonas vaginalis, vaginitis","E. coli, acute pyelonephritis"
A 10-month-old child had severe diarrhea and vomiting. The Meridian Immunocard STAT was used to detect the causative viral agent. The virus (based on the history and images provided) is a(n):,"adenovirus, norovirus, parainfluenza virus, poliovirus, rotavirus",rotavirus
"During the cold months of January, a three-year-old male child developed a high fever, cough and sore throat. Nasopharyngeal fluid analysis by the QuickVue test (top panel and patient sample is in the left tube) and the diagram of the agent involved (bottom) revealed that the child was infected with which ONE of the following viruses:","influenza virus, measles virus, parainfluenza virus, respiratory syncytial virus, rhinovirus",influenza virus
"A 38-year-old female saw her physician for frontal headache, fever, periorbital edema, and weakness of her arms and legs. She did not improve with antimicrobial therapy and was hospitalized. Lab blood work showed 50% eosinophils. CSF exam was unremarkable. A muscle biopsy was done (see image provided).Involved agent is:","Ascaris lumbricoides, Echinococcus, Taenia solium, Trichinella spiralis, Trichuris trichiura",Trichinella spiralis
"A 36-year-old, HIV-negative man who had been treated for pulmonary tuberculosis over the past six months developed signs and symptoms of meningitis including fever, stiff neck, and a semi-conscious state.Microscopic examination of spinal fluid was negative for bacteria; results of an India ink preparation are shown in the image provided.Agent is:","Blastomyces dermatitidis, Candida albicans, Coccidioides immitis, Cryptococcus neoformans, Pneumocystis jiroveci",Cryptococcus neoformans
"A 65-year-old female who lived just outside the city, in a country setting, was admitted to the hospital with a three-week history of fever, headache, and malaise; she experienced chills that coincided with her recurring episodes of fever.† Her past medical history was unremarkable, she had not traveled out of the country, and she had not had a blood transfusion.† Her diagnosis was made from a blood smear as seen in the image provided. Follow-up sampling near her home led to the discovery of mosquitoes infected with this agent and thus, the likely source of the womans infection; it was noted that nearby land was being cleared suggesting the possibility that the mosquitoes were infected via an infected migrant worker.† The area was sprayed for mosquito control, and no other cases occurred.The agent is:","Cryptosporidium parvum, Leishmania, Plasmodium falciparum, Toxoplasma gondii, Trypanosoma cruzi",Plasmodium falciparum
A 48-year-old man suffered injuries in a car accident.The organism (seen in the gram stain image provided) caused an infection associated with a wound from the accident. He developed pain and stiffness in his neck along with painful muscle spasms.Agent is:,"Bacillus cereus, Clostridium botulinum, Clostridium perfringens, Clostridium tetani, Corynebacterium species",Clostridium tetani
"A house repairman in Waco was bitten by a bat while working in the attic.† It seems that the bats were nested in the attic because of a missing roof vent. Immediately, he went to the hospital, where he received immunoglobulin therapy and was vaccinated against a virus (see image provided) which is carried by bats in this region.The virus is:","dengue virus, Ebola virus, hepatitis virus, rabies virus, West Nile virus",rabies virus
"A 48-year-old man is admitted to a hospital because of stupor. He is unkempt and homeless and lives in an encampment with other homeless people, who called the authorities when he could not be easily aroused. His temperature is 38.5∞C, and his blood pressure 125/80 mm Hg. He moans when attempts are made to arouse him. He has positive Kernig and Brudzinski signs, suggesting meningeal irritation. Physical examination and chest radiography show evidence of left lower lobe lung consolidation. Examination of a Gram-stained sputum and cerebrospinal fluid both show numerous gram-positive lancet-shaped diplococci. He is diagnosed with pneumonia and meningitis and is started on antibiotic therapy to cover many possible microorganisms. Which of the following is the best initial antibiotic therapy while waiting for culture results?","Vancomycin, Gentamicin, Penicillin G, Nafcillin, Trimethoprim‚Äìsulfamethoxazole",Vancomycin
All of the following are common mechanisms of resistance to the penicillins except:,"Production of Œ≤-lactamases, Failure to synthesize peptidoglycans, Methylation of ribosomal RNA, Alterations in target receptors (PBPs)",Methylation of ribosomal RNA
"An 8-year-old boy develops a severe sore throat. On examination, a grayish-white pseudomembrane is seen on the tonsils and pharynx. The differential diagnosis includes group A streptococcal infection, Epstein-Barr virus infection, severe adenovirus infection, and diphtheria. (Neisseria gonorrhoeae pharyngitis would also be included, but the patient has not been sexually abused.) Which of the following is the most likely cause of the boys pharyngitis?","A gram-positive bacillus that produces spores, A catalase-negative gram-positive coccus that grows in chains, A gram-positive bacillus that does not produce spores, A gram-positive filamentous branching rod, A catalase-positive gram-positive coccus that grows in clusters",A gram-positive bacillus that does not produce spores
Which of the following characteristics allows enterococci to be distinguished from non-enterococcalS. bovis?,"growth in 6.5% NaCl, esculin hydrolysis, gamma hemolysis, gram stain morphology, growth in the presence of bile",growth in 6.5% NaCl
"A worried mother brings her infant to the emergency center because he appears to be unable to swallow and continues to choke on his formula. On physical examination, the physician notes generalized muscle weakness. On further questioning, the mother states that she recently started sweetening the baby's formula with honey. Which of the following is a characteristic of the organism most likely responsible for this infant's symptoms?","Production of spores killed by autoclaving, Production of lecithinase, Production of lipopolysaccharide, Production of exotoxin A, Production of IgA protease",Production of spores killed by autoclaving
"An 18-year-old woman who reports unprotected sex with a new partner 2 weeks previously develops fever and left lower quadrant abdominal pain with onset in association with her menstrual period. On pelvic examination in the emergency center, she has bilateral tenderness when the uterus is palpated. A mass 2ì3 cm in diameter is felt on the left, suggestive of tubo-ovarian abscess. Subsequently,Neisseria gonorrhoeaeis cultured from her endocervix. The diagnosis is gonococcal pelvic inflammatory disease. Which of the following is a common sequela of this infection?","Urethral stricture, Uterine fibroid tumors, Cancer of the cervix, Vaginal-rectal fistula, Infertility",Infertility
A 38-year-old man comes to the emergency center with a chief complaint expressed as follows: I have disseminated gonococcal infection again.ù He is correct. Cultures of his urethra and knee fluid yieldNeisseria gonorrhoeae. He has previously had five episodes of disseminated gonococcal infection. For which of the following should the patient be evaluated?,"Absent lymphocyte adenosine deaminase activity, A polymorphonuclear cell chemotactic defect, Selective IgA deficiency, Deficiency of a late-acting complement component C5, C6, C7, or C8, Myeloperoxidase deficiency","Deficiency of a late-acting complement component C5, C6, C7, or C8"
Which of the followingnon-invasivetests is most appropriate to help diagnose Helicobacter pylori?,"Serology to detect bacteria-specific IgM, Ultrasound, 13C-Urea breath test, Culture of the enteric pathogen from stool, Urea agar test",13C-Urea breath test
E. colistrains isolated from a 4-year-old Caucasian female with bloody diarrhea produce a substance that inhibits protein synthesis in human cells. The substance shares many properties with the toxin produced by which of the following organisms?,"Salmonella typhi, Pseudomonas aeruginosa, Vibrio cholerae, Clostridium difficile, Proteus mirabilis, Shigella dysenteriae",Shigella dysenteriae
"Amino acids are found in the protein, peptidoglycan, and capsule of bacteria. Which of the following amino acids is found only in peptidoglycan?","L-alanine, none of the above, D-Glutamate, Diaminopimelic acid, L-lysine",Diaminopimelic acid
"When selecting an initial antimicrobial therapy for an infection, which of the following factors is NOT generally considered?","age of the patient, anatomic site of the infection, whether or not the patient has implanted devices in place (artificial heart valve, artificial hip joint, urinary catheter, etc.), waiting for culture and susceptibility test results, whether or not the patient is immunocompromised",waiting for culture and susceptibility test results
There are many bacterialìantimicrobial resistance combinations. Which one of the following is of major international concern?,"Erythromycin resistance in Streptococcus pyogenes (group A streptococci), Vancomycin resistance in Staphylococcus aureus, Ampicillin resistance in Haemophilus influenzae, Penicillin G resistance in Neisseria gonorrhoeae, Sulfonamide resistance in Neisseria meningitidis",Vancomycin resistance in Staphylococcus aureus
All of the following agents have good activity against gram-positive organismsexcept:,"Daptomycin, Tigecycline, Vancomycin, Quinupristin‚Äìdalfopristin, Aztreonam",Aztreonam
"An 8-year-old girl develops Sydenhams chorea (St. Vitus danceù) with rapid uncoordinated facial tics and involuntary purposeless movements of her extremities, strongly suggestive of acute rheumatic fever. She has no other major manifestations of rheumatic fever (carditis, arthritis, subcutaneous nodules, skin rash). The patients throat culture is negative forStreptococcus pyogenes(group A streptococci). However, she, her brother, and her mother all had sore throats 2 months ago. A test thatif positivewould indicate recentpyogenesinfections is indicated by which of the following?","Antistreptolysin S antibody titer, Antihyaluronic acid antibody titer, Polymerase chain reaction for antibodies against M protein, ASO antibody titer, Esculin hydrolysis",ASO antibody titer
All of the following statements about antimicrobial resistance of enterococci are correctexcept:,"Vancomycin-resistant enterococci are rare in Europe and the United States., Enterococci are resistant to sulfamethoxazole‚Äìtrimethoprim in vivo., Cephalosporins are not active against enterococci., Resistance to the streptogramins (quinupristin‚Äìdalfopristin) has emerged., Vancomycin-resistant enterococci once consistently clonal are now heterogeneous.",Vancomycin-resistant enterococci are rare in Europe and the United States.
"Three months ago, a 53-year-old woman had surgery and chemotherapy for breast cancer. Four weeks ago, she developed a cough occasionally productive of purulent sputum. About 2 weeks ago, she noted a slight but progressive weakness of her left arm and leg. On chest examination, rales were heard over the left upper back when the patient breathed deeply. Neurologic examination confirmed weakness of the left arm and leg. Chest radiography showed a left upper lobe infiltrate. Contrast-enhanced computed tomography showed two lesions in the right hemisphere. Gram stain of a purulent sputum specimen showed branching gram-positive rods that were partially acid fast. Which of the following organisms is the cause of this patients current illness?","Corynebacterium diphtheriae, Nocardia farcinica, Staphylococcus aureus, Streptococcus pneumoniae, Actinomyces israelii",Nocardia farcinica
"A 67-year old man presented with a 6-week history of fever, night sweats, and weight loss. He had coughs productive of bloody sputum. He was a recent immigrant from Afghanistan. Examination revealed a malnourished man with abnormal bronchial breath sounds. Chest x-ray was remarkable for a small cavity with streaky infiltrates in the right upper lobe and a calcified lung lesion and lymph node. An acid-fast stain of a section of bronchoscopy-assisted lung biopsy was significant for acid-fast bacilli. The patient most likely acquired this infection by which of the following modes?","Intravenous drug use, Inhalation of contaminated dust from soil, Contact with soiled linens from same household, Exposure to airborne organisms from a symptomatic patient, Aspiration following a viral infection",Exposure to airborne organisms from a symptomatic patient
"A 28-year old man presented with a week of dysuria and urethral discharge. He had been with a new sexual partner in the past 2 weeks, but his social and medical histories were otherwise unremarkable. He had not noticed any lesions, painful or non-painful. Physical exam was remarkable for a clear urethral discharge. In evaluating the cause of this patients urethral discharge, which of the following laboratory tests is most appropriate?","Urine antigen or direct fluorescence microscopy of discharge to identify Chlamydia, Biphasic culture of urethral discharge to identify Mycoplasma hominis, Culture of urethral discharge on selective media to identify Haemophilus ducreyi, Gram stain of urethral discharge to identify Neisseria gonorrhoeae, Dark field  microscopy to identify Treponema pallidum",Urine antigen or direct fluorescence microscopy of discharge to identify Chlamydia
"A 12-year old boy presents to the emergency center five days after returning from a camping trip in Virginia. He complains of fever, headache, and muscle aches for several days, and recently developed a rash on his wrists, palms, and legs that has since spread to his trunk. Which of the following is the most appropriate treatment?","Gentamicin, Ceftriaxone, Doxycycline, Penicillin, Nystatin",Doxycycline
"A 48-year old man presented with fever, abdominal pain, and rapidly progressive distention of the abdomen. His appendix had been removed for an abscess a few days before. Examination was remarkable for fever and moderate hypotension. CBC was remarkable for neutrophilic leukocytosis. Ascitic fluid and blood culture yielded a gram-negative, oxidase negative, indole-positive bacterium. The anaerobic culture of the needle aspirate of the peritoneal abscess subsequently yielded a significant pathogen. Which of the following would be the most appropriate therapeutic agent?","Cefotaxime, Trimethoprim/sulfamethoxazole, Levofloxacin, Metronidazole, Gentamicin",Metronidazole
"A 3-year-old girl presents to the pediatrician for her annual well child visit. She is developing well and her mother has no concerns at this time. Her temperature is 38oC (100.4oF).† Physical examination reveals an enlarged, tender, erythematous left axillary lymph node. Close inspection of the skin reveals a series of small linear scratches on the left forearm, with a nearby erythematous papule. Which of the following organisms is the most likely cause of these findings?","Borrelia burgdorferi, Francisella tularensis, Eikenella corrodens, Pasteurella multocida, Bartonella henselae",Bartonella henselae
Septicemia can rapidly lead to septic shock and death. Many of the symptoms associated with septicemia and subsequent shock related to gram-negative infection can be attributed to endotoxins stimulation of which of the following substances?,"IL-2 and IL-4, Complement and G-CSF, Immunoglobulin production, IL-1 and TNF, Iron-binding protein",IL-1 and TNF
"A 57-year old homeless, alcoholic male was found sleeping on the street on a cold November night. When awakened, he was incoherent and was brought to the emergency center for examination. He had a fever of 40oC and a productive cough described as currant jellyù colored, along with the signs of malnutrition. While in the EC, he vomited gastric contents and was noted to have foul-smelling sputum. CBC revealed neutrophilic leukocytosis with left shift. Cultures of blood and sputum yielded significant mucoid colonies that were lactose fermentative and indole negative. Which of the following pathogens caused his illness?","Klebsiella pneumoniae, Actinomyces israelii, Streptococcus pneumoniae, Mycoplasma pneumoniae, Pseudomonas aeruginosa",Klebsiella pneumoniae
"A 15-year old boy had a small eschar forming around the site of removal of a tick from his left forearm. A hemorrhagic rash developed over the next few days involving his trunk and extremities and even his palms and soles. Then, small 0.2 to 0.4 cm foci of skin necrosis developed on his fingers and toes. He died of overwhelming septicemia. Examination at autopsy revealed red structures in endothelial cells of a blood vessel indicating immunohistologic staining of organisms. Which of the following organisms is most likely responsible for these findings?","Coxiella burnetii, Yersinia pestis, Brucella abortus, Borrelia burgdorferi, Mycobacterium marinum, Rickettsia rickettsii",Rickettsia rickettsii
CSF cultures from a neonate with fever and poor feeding reveal motile gram-negative rods that form pink colonies on MacConkey agar. Which of the following is the most important bacterial factor in the development of this infection?,"Lipid A, O antigen, Capsule, Verotoxin, Fimbrial antigen",Capsule
"A 45-year old woman with a history of achlorhydria experienced the sudden onset of a severe, voluminous, watery diarrhea immediately after her return from Peru. She became severely dehydrated over the next few days. Microscopic examination of the diarrhea fluid revealed flecks of mucus bit no blood and few white blood cells. She recovered in the hospital with intravenous fluid therapy over the next week. Which of the following mechanisms is most likely to be involved in the pathogenesis of such severe diarrhea?","The agent induces its effect on the mucosa of the small intestine via the mediation of a potent enterotoxin., The agent invades the small intestine and causes cytoskeletal rearrangement of the mucosa via the mediation of cytotoxin., The spore-forming agent produces heat-labile enterotoxin during germination in the small intestinal mucosa., The agent causes intense inflammation at the mucosa of the small intestine., The agent causes a penetrating infection in the small intestine leading to diarrhea.",The agent induces its effect on the mucosa of the small intestine via the mediation of a potent enterotoxin.
"A 30-year-old woman complains of a non-productive cough that has developed over the past 10 days. She reports feeling achy, and having sore throat and headaches. X-ray of the chest demonstrates patchy bilateral interstitial infiltrates. After work-up, the patient is diagnosed withMycoplasma pneumoniaeWhich of the following is associated with the causative organism?","Polysaccharide capsule, Growth on buffered charcoal yeast extract, Pyocyanin production, Reticulate bodies, IgM cold agglutinins",IgM cold agglutinins
"A 30-year-old sexually active woman presents with a painful vesicle on her external genitalia and bilateral inguinal lymphadenopathy. A Tzanck smear of the vesicle is negative, ruling out genital herpes, and an RPR test is also negative. Which of the following medications would be most appropriate for this patient?","Ceftriaxone, Penicillin G, Vancomycin, Metronidazole, Sulfamethoxazole-trimethoprim",Ceftriaxone
"A 73-year-old woman comes to the physician complaining of progressive, severe pain and discharge from her left ear for the past 2 days. She has had type 2 diabetes for many years and has been noncompliant with her medications and follow-up appointments. Initial cultures from the ear show a gram-negative rod. Which of the following microbiological characteristics best describes the infecting organism?","Motile and oxidase positive, Requires factors X and V for growth, Nonmotile and a lactose nonfermenter, Comma-shaped and grows well in high pH, Fast lactose fermenter",Motile and oxidase positive
A 34-year-old immigrant from Africa has patchy areas of skin anesthesia and hypopigmentation on his upper extremities. Nerve biopsy evaluated under light microscopy shows many bacteria invading Schwann cells. This patients disease is most likely caused by which of the following organisms?,"Campylobacter fetus, Treponema pallidum, Borrelia burgdorferi, Mycobacterium leprae, Corynebacterium diphtheriae",Mycobacterium leprae
"A 63-year old man came to the emergency center with complaints of fever, chills, headache, and cough productive of minimal sputum. He had been attending a conference at a local hotel for the past week. On exam, he appeared ill and was in moderate respiratory distress. Over the course of the next 3 days, several more individuals that attended the same conference came in with similar complaints. Which of the following laboratory diagnostic tests is most appropriate in evaluating the cause of the illness?","Serology using paired sera to identify Chlamydia pneumoniae, Nasopharyngeal swab to detect Bordetella pertussis, Direct urine antigen to identify Legionella pneumophila, Acid fast stain of sputum to identify Mycobacterium tuberculosis, Blood cultures to identify Streptococcus pneumoniae",Direct urine antigen to identify Legionella pneumophila
"A 65-year-old man presented with fever, flank pain, frequency in urination, and dysuria. The patients medical history was remarkable for prostatic hypertrophy. Physical examination was remarkable for fever and right costovertebral angle tenderness. Semiquantitative midstream urine and blood cultures identifiedEnterobacteriaceaeas the cause.† Further studies to evaluate the patients low blood pressure (hypotension) showed elevated serum levels of interleukin-1 and TNF.† This most likely occurred as a result of which of the following virulence factors?","Endotoxin, Urease, Hemolysin, Capsule, Aerobactin",Endotoxin
"A 5-year-old boy is brought to the EC with breathing difficulty, dysphagia, drooling and fever. His temperature is 39.4C (103.0F). White blood cell count is 23,000/mm3with many band forms. Laryngoscopy in the operating room shows a swollen and cherry-red epiglottis. Which of the following is most likely for this patient?","Was stung by a bee, Has characteristic family history, Missed vaccination, Has penicillin allergy, Traveled recently",Missed vaccination
"A reservoir host (often considered the primary or definitive host) can be infected with a virus indefinitely (often with no ill effects), is a site of replication, and is the source of virus for the vector. A vector is an agent that can move the virus from one host to another. A dead-end host, once receiving a virus via the vector, is incapable of providing virus back to the vector for further transmission. This is often due to low levels of viremia in the host, and/or the very small amount of blood that is acquired by the vector. In the case of Yellow fever virus, transmitted in the jungle, monkeys are considered which of the following?","reservoir host, vector, dead-end host",reservoir host
"Regarding viral genetics, the exchange of genes between two chromosomes by crossing over within regions of significant base sequence homology is defined as which of the following?","recombination, reassortment, complementation, phenotypic mixing",recombination
Interpret the image of the time course of untreated HIV infection. Match the stage of untreated infection on the left with the corresponding characteristics on the right.Image source: quizlet.com,"Stage 1, Flu-like (acute), Flu-like (acute), Stage 2, Feeling fine (latent), Feeling fine (latent), Stage 3, Falling count (of CD4+ T cells), Falling count (of CD4+ T cells), Stage 4, Final crisis, Final crisis",Final crisis
Several members of the Herpesvirus family are associated with viral latency. Match the member of the Herpesvirus family member on the left with its corresponding site where it maintains latency.,"Herpes Simplex Virus Type 2 (HSV-2), Sacral ganglia, Sacral ganglia, Varicella-zoster Virus (VZV), Dorsal root or trigeminal ganglia, Dorsal root or trigeminal ganglia, Cytomegalovirus (CMV), Mononuclear cells, Mononuclear cells",Mononuclear cells
"A newly discovered virus has been identified as the etiologic agent of a flu-like syndrome.† As part of the identification process, the laboratory must attempt to place the virus in one of the known classes. Which of the following criterion listed below will beexcludedby the laboratory in their viral classification scheme?","Tissue tropism of the virus, Presence/absence of an envelope, Nature of the virion nucleic acid, Symmetry of the capsid",Tissue tropism of the virus
"Creutzfeldt-Jakob disease, Bovine spongiform encephalopathy, and Kuru are all examples of diseases caused by which of the following?","Prions, DNA viruses, RNA viruses, Arthropod vectors",Prions
"Hepatitis A virus has a short incubation time in host cells and is associated with acute disease, whereas Hepatitis B virus and Hepatitis C virus have long incubation times in host cells and are associated with chronic disease.","True, False",TRUE
"Viral etiologies for gastrointestinal illnesses include Norovirus, Hepatitis A virus, Coxsackievirus, and Echovirus (among others). Which of the following statements regarding these four gastrointestinal viruses is correct?","They are all enveloped viruses, They are all DNA viruses, They are all RNA viruses, They are all double-stranded genome viruses",They are all RNA viruses
"Of the viruses listed below, which one has reverse transcriptase?","Human Immunodeficiency Virus, Herpes Simplex Virus, Cytomegalovirus, West Nile Virus",Human Immunodeficiency Virus
A 13-valent capsular polysaccharide protein conjugate vaccine for the pneumococcus is recommended for which of the following?,"For all children ages 2‚Äì23 months & selected older children; adults with immunocompromising conditions, For children up to age 18 years and for selected adults, Only on exposure to a patient with disease caused by the organism, For children ages 24‚Äì72 months, For all age groups older than age 2 months",For all children ages 2‚Äì23 months & selected older children; adults with immunocompromising conditions
"A 55-year-old man arrives in the clinic complaining of toenail discoloration. He says that for the past year he has been using various over-the-counter agents to try to eliminate the problem himself. He asks you to determine why his toenails are so abnormal (refer to figure A on the right). You scrape some of his toenail on a slide, treat the scraping with 10% KOH, and stain with lactophenol cotton blue (refer to figure B on the right). Which of the following organisms is the mostly likely cause of this patients condition?Image A courtesy of the Centers for Disease Control and Prevention, Dr. Edwin P Ewing, Jr. Image B courtesy of the Centers for Disease Control and Prevention, Dr. Libero Ajello.","Blastomyces dermatitidis, Malassezia furfur, Epidermophyton floccosum, Sporothrix schenckii, Candida albicans",Epidermophyton floccosum
Fungi are placed in categories based on the type of infections they cause. Match the fungus on the left with the corresponding category to which it belongs on the right.,"Malassezia furfur, Superficial, Superficial, Microsporum canis, Cutaneous, Cutaneous, Sporothrix schenckii, Subcutaneous, Subcutaneous, Coccidioides immitis, Systemic; disseminated, Systemic; disseminated, Cryptococcus neoformans, Opportunistic, Opportunistic",Opportunistic
"A 32-year-old woman saw her physician because of complaints of soreness in her mouth that started about 1 month ago. She does not complain about any other problems except that she has been bothered from time to time with fatigue and she notices that her lymph nodes are frequently swollen in several areas on her body. Physical examination reveals lymphadenopathy of the cervical, axillary, and inguinal lymph nodes. Her pharynx appears similar to that shown in the figure below. Which of the following is the most likely diagnosis of this patients condition?Image courtesy of the Centers for Disease Control and Prevention.","Thrush, Perl√®che, Streptococcal pharyngitis, Gingivostomatitis (viral), Diphtheria",Thrush
"The cestodeTaenia solium(pork tapeworm) can cause either an intestinal infection (taeniasis) or a more severe form of disease cysticercosis (neurocysticercosis).† The main difference between which disease occurs in a host is based on the mode of transmission. The intestinal infection occurs when the host ingests the larvae that are encysted in undercooked pork, whereas cysticercosis or neurocysticercosis occurs when the host ingests the eggs that have been excreted by a carrier of the tapeworm.","True, False",TRUE
"A 34-year-old woman presents to her physician with complaints of a malodorous vaginal discharge that began about 3 days ago. Gynecologic examination reveals a frothy vaginal discharge. A sample was obtained and a wet mount was made of the discharge, shown in the figure below. Which of the following organisms is the mostly likely cause of this patients infection?Image courtesy of the Centers for Disease Control and Prevention.","Gardnerella vaginalis, Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, Candida albicans",Trichomonas vaginalis
The trematodes (flukes) that cause schistosomiasis are transmitted by which of the following?,"Sexual contact, Sandfly, Mosquito, Snails, Undercooked pork",Snails
Which of the following would be the most appropriate treatment if the diagnosis of this patient is determined to be protozoan vaginitis?,"Ceftriaxone, Metronidazole, Azithromycin, Penicillin, Doxycycline",Metronidazole
"The image provided shows barrel-shaped arthroconidia (panel A) and spherules in lung tissue, indicative of a fungal pathogen associated with valley feverù. Which of the following is the most likely etiologic agent?Carroll, Karen C. Jawetz Melnick & Adelbergs Medical Microbiology 27 E, 27th Edition. McGraw-Hill Education / Medical, 2015. [Bookshelf Online].","Histoplasma capsulatum, Coccidioides immitis, Cryptococcus neoformans, Candida albicans, Blastomyces dermatitidis",Coccidioides immitis
"A 40-year-old man goes on a camping vacation with his family. One day after swimming in a freshwater lake near the campsite, he develops nausea and vomiting and starts to behave irrationally. His family takes him to the emergency center, where blood samples are taken and a spinal tap is performed. He is diagnosed with a rapidly progressing meningoencephalitis and dies shortly thereafter. Which of the following protozoa, capable of crossing the blood-brain barrier, was most likely the cause of the mans illness?","Leishmania donovani, Entamoeba histolytica, Cryptosporidium species, Naegleria fowleri, Plasmodium falciparum",Naegleria fowleri
A 25-year-old man presents with a lesion on his right forearm. Physical examination reveals a lesion similar to that seen in the figure below. Pain can be elicited when the center of the lesion is pricked with a pin. A KOH wet mount confirms what you thought was causing this lesion. Which of the following is the most likely diagnosis of this patients condition?,"Leprosy, Tinea versicolor, Tinea corporis, Anthrax, Tinea capitis",Tinea corporis
